YEAR,TSUNAMI,FOCAL DEPTH OF EARTHQUAKE,EQ_PRIMARY,INTENSITY,COUNTRY,TOTAL DEATHS OF EARTHQUAKE,TOTAL MISSING OF EARTHQUAKE,TOTAL INJURIES OF EARTHQUAKE,TOTAL HOUSES DESTROYED OF EARTHQUAKE,TOTAL HOUSES DAMAGED OF EARTHQUAKE,TOTAL DAMAGES(MILLION $) OF EARTHQUAKE
2018,No,10.0,5.5,,IRAN,1.0,,2.0,,,
2018,No,10.0,5.6,,CHINA,,,28.0,,29000.0,
2018,No,10.0,5.3,,INDIA,1.0,,,,,
2018,Yes,10.0,7.5,8.0,INDONESIA,4340.0,667.0,10679.0,5864.0,69483.0,1500.0
2018,No,12.0,5.9,,HAITI,18.0,,580.0,,11497.0,
2018,No,9.0,6.0,5.0,INDONESIA,4.0,,36.0,,433.0,
2018,Yes,17.0,6.5,,NEW CALEDONIA,,,,,,
2018,Yes,14.0,6.8,,GREECE,,,3.0,,,
2018,No,9.0,5.6,,INDONESIA,7.0,,,,,
2018,No,10.0,6.3,,IRAN,1.0,,759.0,,,
2018,No,22.0,4.9,,AFGHANISTAN,,,9.0,,60.0,
2018,No,41.0,7.0,,USA,,,117.0,2.0,1650.0,150.0
2018,Yes,10.0,7.5,,NEW CALEDONIA,,,,,,
2018,No,35.0,5.6,,VANUATU,,,,,,
2018,No,27.0,5.4,,CHINA,,,17.0,15.0,6145.0,7.255
2018,No,8.0,5.5,,MOZAMBIQUE,,,10.0,600.0,,
2018,No,10.0,5.1,,ITALY,,,28.0,15.0,,115.0
