,YEAR,TSUNAMI,FOCAL DEPTH OF EARTHQUAKE,EQ_PRIMARY,INTENSITY,COUNTRY,TOTAL DEATHS OF EARTHQUAKE,TOTAL MISSING OF EARTHQUAKE,TOTAL INJURIES OF EARTHQUAKE,TOTAL HOUSES DESTROYED OF EARTHQUAKE,TOTAL HOUSES DAMAGED OF EARTHQUAKE,TOTAL DAMAGES(MILLION $) OF EARTHQUAKE
0,2010,No,47.0,5.1,,TAJIKISTAN,,,,98.0,1000.0,1.5
1,2010,Yes,26.0,6.6,,SOLOMON ISLANDS,,,,,,
2,2010,Yes,25.0,7.1,,SOLOMON ISLANDS,,,,16.0,60.0,
3,2010,Yes,15.0,6.8,,SOLOMON ISLANDS,,,,,,
4,2010,No,65.0,5.1,,INDONESIA,1.0,,2.0,,,
5,2010,No,29.0,6.5,,USA,,,30.0,,,21.8
6,2010,Yes,13.0,7.0,,HAITI,316000.0,,300000.0,97294.0,188383.0,8000.0
7,2010,No,8.0,5.5,,VENEZUELA,,,11.0,,3.0,
8,2010,No,5.0,5.0,,IRAN,,,,,150.0,
9,2010,No,27.0,4.4,,CHINA,7.0,1.0,9.0,,,
10,2010,No,10.0,4.7,,CHINA,1.0,,15.0,200.0,,
11,2010,No,36.0,4.8,,CHINA,,,11.0,,,
12,2010,Yes,25.0,7.0,,JAPAN,,,2.0,,,
13,2010,Yes,23.0,8.8,9.0,CHILE,558.0,,12000.0,,500000.0,30000.0
14,2010,No,10.0,6.3,,ARGENTINA,2.0,,2.0,,,
15,2010,No,21.0,6.3,,TAIWAN,,,96.0,,340.0,1000.0
16,2010,No,12.0,6.1,,TURKEY,51.0,,100.0,287.0,700.0,
17,2010,Yes,11.0,6.9,,CHILE,,,,,,
18,2010,No,34.0,6.7,,INDIA,,,10.0,,,
19,2010,No,4.0,7.2,,MEXICO,2.0,,233.0,,,1150.0
20,2010,Yes,31.0,7.8,,INDONESIA,,,,,,
21,2010,No,17.0,6.9,,CHINA,2220.0,70.0,12135.0,15000.0,,500.0
22,2010,No,13.0,5.6,,AFGHANISTAN,11.0,,70.0,2000.0,,
23,2010,No,0.0,5.2,,AUSTRALIA,,,3.0,,,
24,2010,No,36.0,4.5,,INDIA,,,,,,
